"name","essround","edition","proddate","idno","cntry","dweight","pspwght","pweight","anweight","prob","stratum","psu","actrolg","polintr","yrbrn","age"
"ESS1e06_7",1,"6.7","23.11.2023",2,"ES",1.2672,2.3464944,2.0200796,4.7401056,,,,,3,1985,
"ESS1e06_7",1,"6.7","23.11.2023",5,"ES",0.8448,0.70053184,2.0200796,1.4151301,,,,,2,1964,
"ESS1e06_7",1,"6.7","23.11.2023",8,"ES",1.2672,2.413873,2.0200796,4.8762155,,,,,3,1982,
"ESS1e06_7",1,"6.7","23.11.2023",13,"ES",0.8652,1.0648167,2.0200796,2.1510146,,,,,4,1981,
"ESS1e06_7",1,"6.7","23.11.2023",15,"ES",0.8652,0.73702955,2.0200796,1.4888583,,,,,4,1923,
"ESS1e06_7",1,"6.7","23.11.2023",22,"ES",1.7304,2.1296334,2.0200796,4.302029,,,,,3,1987,
"ESS1e06_7",1,"6.7","23.11.2023",23,"ES",0.4326,0.41509965,2.0200796,0.83853436,,,,,3,1942,
"ESS1e06_7",1,"6.7","23.11.2023",25,"ES",1.7941,2.9828842,2.0200796,6.0256634,,,,,4,1980,
"ESS1e06_7",1,"6.7","23.11.2023",27,"ES",1.3456,0.6275136,2.0200796,1.2676274,,,,,3,1962,
"ESS1e06_7",1,"6.7","23.11.2023",31,"ES",0.897,0.4183113,2.0200796,0.84502214,,,,,2,1960,
"ESS1e06_7",1,"6.7","23.11.2023",36,"ES",1.3456,1.1313396,2.0200796,2.2853959,,,,,4,1957,
"ESS1e06_7",1,"6.7","23.11.2023",37,"ES",1.7045,2.0977578,2.0200796,4.237638,,,,,4,1970,
"ESS1e06_7",1,"6.7","23.11.2023",38,"ES",0.8522,0.8177252,2.0200796,1.65187,,,,,3,1934,
"ESS1e06_7",1,"6.7","23.11.2023",41,"ES",0.8522,0.72595537,2.0200796,1.4664876,,,,,4,1920,
"ESS1e06_7",1,"6.7","23.11.2023",42,"ES",0.4261,0.4088626,2.0200796,0.825935,,,,,4,1945,
"ESS1e06_7",1,"6.7","23.11.2023",43,"ES",1.2784,1.0890182,2.0200796,2.1999035,,,,,2,1924,
"ESS1e06_7",1,"6.7","23.11.2023",46,"ES",0.4261,0.4088626,2.0200796,0.825935,,,,,4,1915,
"ESS1e06_7",1,"6.7","23.11.2023",47,"ES",0.7451,0.7149578,2.0200796,1.4442716,,,,,4,1931,
"ESS1e06_7",1,"6.7","23.11.2023",48,"ES",0.7451,0.6347211,2.0200796,1.2821871,,,,,4,1919,
"ESS1e06_7",1,"6.7","23.11.2023",49,"ES",1.1177,1.5121849,2.0200796,3.0547338,,,,,4,1964,
"ESS1e06_7",1,"6.7","23.11.2023",51,"ES",0.3726,0.35752687,2.0200796,0.72223276,,,,,4,1931,
"ESS1e06_7",1,"6.7","23.11.2023",53,"ES",1.4902,1.8340151,2.0200796,3.7048566,,,,,4,1985,
"ESS1e06_7",1,"6.7","23.11.2023",54,"ES",0.7451,0.8914111,2.0200796,1.8007214,,,,,2,1980,
"ESS1e06_7",1,"6.7","23.11.2023",55,"ES",0.7451,0.7149578,2.0200796,1.4442716,,,,,4,1922,
"ESS1e06_7",1,"6.7","23.11.2023",59,"ES",0.923,0.88566107,2.0200796,1.7891059,,,,,4,1926,
"ESS1e06_7",1,"6.7","23.11.2023",60,"ES",1.3845,1.8731501,2.0200796,3.7839124,,,,,4,1949,
"ESS1e06_7",1,"6.7","23.11.2023",61,"ES",0.4615,0.44283053,2.0200796,0.89455295,,,,,3,1919,
"ESS1e06_7",1,"6.7","23.11.2023",64,"ES",0.923,0.88566107,2.0200796,1.7891059,,,,,3,1926,
"ESS1e06_7",1,"6.7","23.11.2023",66,"ES",0.923,0.78626704,2.0200796,1.588322,,,,,4,1940,
"ESS1e06_7",1,"6.7","23.11.2023",68,"ES",1.3651,1.0188773,2.0200796,2.0582132,,,,,3,1976,
"ESS1e06_7",1,"6.7","23.11.2023",69,"ES",0.6825,0.40827703,2.0200796,0.8247521,,,,,2,1974,
"ESS1e06_7",1,"6.7","23.11.2023",71,"ES",1.3651,0.8210393,2.0200796,1.6585648,,,,,2,1954,
"ESS1e06_7",1,"6.7","23.11.2023",72,"ES",1.0238,1.297414,2.0200796,2.6208794,,,,,3,1957,
"ESS1e06_7",1,"6.7","23.11.2023",73,"ES",0.3413,0.36765334,2.0200796,0.742689,,,,,4,1928,
"ESS1e06_7",1,"6.7","23.11.2023",74,"ES",0.6825,0.4104896,2.0200796,0.82922167,,,,,3,1962,
"ESS1e06_7",1,"6.7","23.11.2023",75,"ES",0.6825,0.4104896,2.0200796,0.82922167,,,,,2,1964,
"ESS1e06_7",1,"6.7","23.11.2023",76,"ES",1.0238,0.53599244,2.0200796,1.0827475,,,,,3,1966,
"ESS1e06_7",1,"6.7","23.11.2023",77,"ES",0.8614,1.1569238,2.0200796,2.337078,,,,,3,1973,
"ESS1e06_7",1,"6.7","23.11.2023",80,"ES",0.8614,0.92791265,2.0200796,1.8744575,,,,,3,1938,
"ESS1e06_7",1,"6.7","23.11.2023",83,"ES",0.8614,1.1901443,2.0200796,2.4041862,,,,,3,1976,
"ESS1e06_7",1,"6.7","23.11.2023",84,"ES",1.2921,0.7930086,2.0200796,1.6019405,,,,,2,1925,
"ESS1e06_7",1,"6.7","23.11.2023",89,"ES",1.997,2.6821184,2.0200796,5.4180927,,,,,4,1980,
"ESS1e06_7",1,"6.7","23.11.2023",90,"ES",1.6642,2.2993245,2.0200796,4.644819,,,,,4,1979,
"ESS1e06_7",1,"6.7","23.11.2023",91,"ES",0.6657,0.40038523,2.0200796,0.80881006,,,,,2,1958,
"ESS1e06_7",1,"6.7","23.11.2023",92,"ES",0.6657,0.34851548,2.0200796,0.704029,,,,,2,1967,
"ESS1e06_7",1,"6.7","23.11.2023",93,"ES",0.6657,0.66431534,2.0200796,1.3419698,,,,,3,1949,
"ESS1e06_7",1,"6.7","23.11.2023",94,"ES",0.6657,0.49686223,2.0200796,1.0037012,,,,,4,1974,
"ESS1e06_7",1,"6.7","23.11.2023",95,"ES",0.9985,1.0755988,2.0200796,2.1727953,,,,,4,1942,
"ESS1e06_7",1,"6.7","23.11.2023",96,"ES",0.6657,0.8958103,2.0200796,1.8096081,,,,,4,1975,
"ESS1e06_7",1,"6.7","23.11.2023",97,"ES",0.3328,0.33210778,2.0200796,0.67088413,,,,,2,1952,
"ESS1e06_7",1,"6.7","23.11.2023",98,"ES",0.6657,0.63662446,2.0200796,1.2860321,,,,,4,1922,
"ESS1e06_7",1,"6.7","23.11.2023",100,"ES",0.6657,0.71710175,2.0200796,1.4486027,,,,,3,1936,
"ESS1e06_7",1,"6.7","23.11.2023",101,"ES",0.7787,0.74468905,2.0200796,1.5043311,,,,,4,1926,
"ESS1e06_7",1,"6.7","23.11.2023",103,"ES",0.7787,0.46834907,2.0200796,0.9461024,,,,,3,1956,
"ESS1e06_7",1,"6.7","23.11.2023",104,"ES",1.168,1.1655706,2.0200796,2.3545454,,,,,4,1951,
"ESS1e06_7",1,"6.7","23.11.2023",105,"ES",1.168,1.1169857,2.0200796,2.2564,,,,,2,1924,
"ESS1e06_7",1,"6.7","23.11.2023",107,"ES",0.7787,1.0458516,2.0200796,2.1127036,,,,,4,1975,
"ESS1e06_7",1,"6.7","23.11.2023",109,"ES",1.168,1.1655706,2.0200796,2.3545454,,,,,3,1957,
"ESS1e06_7",1,"6.7","23.11.2023",110,"ES",0.3893,0.3722967,2.0200796,0.75206894,,,,,3,1933,
"ESS1e06_7",1,"6.7","23.11.2023",111,"ES",0.7787,0.74468905,2.0200796,1.5043311,,,,,2,1940,
"ESS1e06_7",1,"6.7","23.11.2023",115,"ES",0.8478,0.91326255,2.0200796,1.844863,,,,,4,1930,
"ESS1e06_7",1,"6.7","23.11.2023",116,"ES",0.8478,0.8002152,2.0200796,1.6164984,,,,,3,1966,
"ESS1e06_7",1,"6.7","23.11.2023",117,"ES",0.8478,0.5099093,2.0200796,1.0300573,,,,,3,1951,
"ESS1e06_7",1,"6.7","23.11.2023",119,"ES",0.8478,0.91326255,2.0200796,1.844863,,,,,4,1934,
"ESS1e06_7",1,"6.7","23.11.2023",121,"ES",0.8478,1.0743773,2.0200796,2.1703277,,,,,3,1967,
"ESS1e06_7",1,"6.7","23.11.2023",122,"ES",0.8478,1.2876843,2.0200796,2.601225,,,,,3,1966,
"ESS1e06_7",1,"6.7","23.11.2023",126,"ES",0.7417,0.5535868,2.0200796,1.1182894,,,,,4,1971,
"ESS1e06_7",1,"6.7","23.11.2023",127,"ES",0.7417,0.44609544,2.0200796,0.9011483,,,,,3,1965,
"ESS1e06_7",1,"6.7","23.11.2023",128,"ES",1.1125,1.1984012,2.0200796,2.4208658,,,,,2,1928,
"ESS1e06_7",1,"6.7","23.11.2023",129,"ES",1.8542,1.1152085,2.0200796,2.25281,,,,,3,1967,
"ESS1e06_7",1,"6.7","23.11.2023",130,"ES",1.1125,1.0639098,2.0200796,2.1491823,,,,,3,1946,
"ESS1e06_7",1,"6.7","23.11.2023",131,"ES",1.1125,1.110186,2.0200796,2.242664,,,,,4,1962,
"ESS1e06_7",1,"6.7","23.11.2023",133,"ES",2.2927,2.2879312,2.0200796,4.6218033,,,,,3,1966,
"ESS1e06_7",1,"6.7","23.11.2023",134,"ES",1.9106,1.1429363,2.0200796,2.3088224,,,,,3,1981,
"ESS1e06_7",1,"6.7","23.11.2023",135,"ES",0.7642,0.8232074,2.0200796,1.6629444,,,,,3,1942,
"ESS1e06_7",1,"6.7","23.11.2023",136,"ES",0.7642,0.8232074,2.0200796,1.6629444,,,,,3,1936,
"ESS1e06_7",1,"6.7","23.11.2023",138,"ES",0.3821,0.22981402,2.0200796,0.4642426,,,,,3,1964,
"ESS1e06_7",1,"6.7","23.11.2023",139,"ES",1.5285,0.91436106,2.0200796,1.8470821,,,,,4,1984,
"ESS1e06_7",1,"6.7","23.11.2023",142,"ES",1.5285,1.6465225,2.0200796,3.3261065,,,,,3,1943,
"ESS1e06_7",1,"6.7","23.11.2023",147,"ES",0.9957,0.5956358,2.0200796,1.2032317,,,,,3,1980,
"ESS1e06_7",1,"6.7","23.11.2023",150,"ES",1.3275,2.4777682,2.0200796,5.005289,,,,,3,1978,
"ESS1e06_7",1,"6.7","23.11.2023",151,"ES",0.6638,0.6624193,2.0200796,1.3381398,,,,,3,1966,
"ESS1e06_7",1,"6.7","23.11.2023",153,"ES",0.7799,0.4083029,2.0200796,0.82480437,,,,,2,1960,
"ESS1e06_7",1,"6.7","23.11.2023",154,"ES",0.7799,0.4083029,2.0200796,0.82480437,,,,,2,1965,
"ESS1e06_7",1,"6.7","23.11.2023",156,"ES",0.7799,0.4083029,2.0200796,0.82480437,,,,,4,1960,
"ESS1e06_7",1,"6.7","23.11.2023",159,"ES",0.7799,0.84011966,2.0200796,1.6971086,,,,,4,1928,
"ESS1e06_7",1,"6.7","23.11.2023",165,"ES",0.7092,0.67822456,2.0200796,1.3700676,,,,,4,1920,
"ESS1e06_7",1,"6.7","23.11.2023",167,"ES",0.3546,0.33911228,2.0200796,0.6850338,,,,,4,1941,
"ESS1e06_7",1,"6.7","23.11.2023",168,"ES",1.0639,1.6159087,2.0200796,3.2642643,,,,,4,1966,
"ESS1e06_7",1,"6.7","23.11.2023",169,"ES",0.7092,0.67822456,2.0200796,1.3700676,,,,,4,1913,
"ESS1e06_7",1,"6.7","23.11.2023",171,"ES",0.7092,0.7639606,2.0200796,1.5432613,,,,,4,1928,
"ESS1e06_7",1,"6.7","23.11.2023",173,"ES",1.2127,0.6348877,2.0200796,1.2825236,,,,,3,1960,
"ESS1e06_7",1,"6.7","23.11.2023",177,"ES",1.2127,1.6755142,2.0200796,3.3846722,,,,,4,1975,
"ESS1e06_7",1,"6.7","23.11.2023",178,"ES",0.4042,0.301685,2.0200796,0.60942775,,,,,4,1970,
"ESS1e06_7",1,"6.7","23.11.2023",179,"ES",0.8085,1.0879714,2.0200796,2.197789,,,,,3,1972,
"ESS1e06_7",1,"6.7","23.11.2023",184,"ES",1.5635,0.9352983,2.0200796,1.8893771,,,,,2,1982,
"ESS1e06_7",1,"6.7","23.11.2023",188,"ES",0.7817,1.0519077,2.0200796,2.1249373,,,,,3,1968,
"ESS1e06_7",1,"6.7","23.11.2023",189,"ES",1.1726,0.7052602,2.0200796,1.4246818,,,,,4,1960,
"ESS1e06_7",1,"6.7","23.11.2023",192,"ES",0.3909,0.42108318,2.0200796,0.8506216,,,,,3,1938,
"ESS1e06_7",1,"6.7","23.11.2023",195,"ES",1.2849,1.2822274,2.0200796,2.5902014,,,,,3,1950,
"ESS1e06_7",1,"6.7","23.11.2023",196,"ES",1.2849,1.6282938,2.0200796,3.289283,,,,,2,1954,
"ESS1e06_7",1,"6.7","23.11.2023",197,"ES",0.4283,0.4095933,2.0200796,0.8274111,,,,,3,1930,
"ESS1e06_7",1,"6.7","23.11.2023",200,"ES",1.7132,2.305396,2.0200796,4.6570835,,,,,3,1976,
"ESS1e06_7",1,"6.7","23.11.2023",205,"ES",0.8771,0.8595294,2.0200796,1.7363178,,,,,4,1930,
"ESS1e06_7",1,"6.7","23.11.2023",206,"ES",0.4386,0.42981368,2.0200796,0.8682579,,,,,4,1928,
"ESS1e06_7",1,"6.7","23.11.2023",208,"ES",0.4386,0.42981368,2.0200796,0.8682579,,,,,4,1938,
"ESS1e06_7",1,"6.7","23.11.2023",209,"ES",0.8771,0.48971146,2.0200796,0.98925614,,,,,3,1932,
"ESS1e06_7",1,"6.7","23.11.2023",210,"ES",0.8771,0.77429914,2.0200796,1.5641459,,,,,3,1929,
"ESS1e06_7",1,"6.7","23.11.2023",213,"ES",0.4386,0.24488366,2.0200796,0.4946845,,,,,1,1945,
"ESS1e06_7",1,"6.7","23.11.2023",214,"ES",0.8771,0.75313336,2.0200796,1.5213894,,,,,3,1967,
"ESS1e06_7",1,"6.7","23.11.2023",218,"ES",1.5133,1.8489889,2.0200796,3.7351048,,,,,4,1971,
"ESS1e06_7",1,"6.7","23.11.2023",222,"ES",0.5044,0.49429554,2.0200796,0.9985163,,,,,2,1930,
"ESS1e06_7",1,"6.7","23.11.2023",223,"ES",1.0089,0.54904735,2.0200796,1.1091194,,,,,1,1970,
"ESS1e06_7",1,"6.7","23.11.2023",224,"ES",0.5044,0.49429554,2.0200796,0.9985163,,,,,2,1938,
"ESS1e06_7",1,"6.7","23.11.2023",226,"ES",0.5044,0.23827651,2.0200796,0.48133752,,,,,3,1927,
"ESS1e06_7",1,"6.7","23.11.2023",231,"ES",0.6869,0.6731396,2.0200796,1.3597956,,,,,3,1941,
"ESS1e06_7",1,"6.7","23.11.2023",232,"ES",1.0303,0.8963505,2.0200796,1.8106993,,,,,3,1938,
"ESS1e06_7",1,"6.7","23.11.2023",234,"ES",0.6869,0.94911516,2.0200796,1.9172882,,,,,4,1959,
"ESS1e06_7",1,"6.7","23.11.2023",235,"ES",0.6869,0.37583947,2.0200796,0.75922567,,,,,3,1963,
"ESS1e06_7",1,"6.7","23.11.2023",237,"ES",1.9946,1.8107603,2.0200796,3.6578798,,,,,3,1951,
"ESS1e06_7",1,"6.7","23.11.2023",238,"ES",0.7978,0.9747726,2.0200796,1.9691182,,,,,3,1977,
"ESS1e06_7",1,"6.7","23.11.2023",240,"ES",0.7978,0.7242678,2.0200796,1.4630786,,,,,4,1949,
